No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,ReefMom,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,Percent_Survival_atend,CrossType,Survival,Region_cross
71,24,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,0,NA
72,1,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
73,2,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
74,3,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
75,4,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
76,5,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
77,6,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
78,7,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
79,8,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
80,9,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
81,10,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
82,11,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
83,12,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
84,13,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
85,14,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
86,15,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,1,NA
87,16,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
88,17,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
89,18,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
90,19,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
91,20,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
92,21,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
93,22,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
94,23,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
95,24,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
96,25,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,A,25,15,10,60,BulkCross,0,NA
97,1,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCross,1,NA
98,2,2,17.12.20,2020,10:00,Hot,35.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,130,B,22,14,8,63.63636364,BulkCross,1,NA
