No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,CrossType,Percent_Survival_atend,Cumulative.hrs,BroadMom,BroadDad,crosstype,crosstype2,Survival
3,16,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,17,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,18,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,19,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,20,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,21,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
3,22,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
3,23,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
4,1,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,A,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
4,2,2,44539,2021,8:00,Ambient,27.5C,C116,Arlington1 x Davies15,ArlingtonxDavies,H.F.30,Arlington1,Davies15,A. hyacinthus larvae,160,A,6,6,0,IndivCross,100,40,Arlington,Davies,ArlingtonxDavies,ARLxDAV,1
