No,Timepoint,Tank,Temp,Treatment,Cassette,Plate.Slide,Area,Red,Green,Blue,Hue,Saturation,Brightness,SINGLE.CLUMP,Clump.IndNo,Live.Coral.ID.Number,MatchID,SamplesID,Species,Crosstype,Mom,Dad,Family,Genetic,Cone,popcross,Grey_av,Grey_light,Grey_lum,IndID
67,T6,1,HOT,SS,601,2797,3.5081,155.5062,129.0905,86.567,25.8634,113.121,155.5062,C,5,2,2,2,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,123.7212333,121.0366,132.337625,1.601.2797.2
65,T0,1,HOT,SS,601,2797,0.8101,146.3916,119.1453,85.0956,23.2467,107.6271,146.3916,S,NA,3,3,,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,116.8775,115.7436,123.573723,1.601.2797.3
71,T6,1,HOT,SS,601,2797,0.5729,149.4727,123.3055,79.6574,26.2395,119.1559,149.4727,S,NA,3,3,1,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,117.4785333,114.56505,126.354369,1.601.2797.3
60,T0,1,HOT,SS,601,2797,0.8602,142.0105,113.9301,79.5726,23.0862,113.3939,142.0105,S,NA,4,4,,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,111.8377333,110.79155,118.574895,1.601.2797.4
70,T6,1,HOT,SS,601,2797,0.6121,144.1159,118.1212,76.0288,26.0141,120.59,144.1159,S,NA,4,4,6,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,112.7553,110.07235,121.289446,1.601.2797.4
66,T0,1,HOT,SS,601,2797,1.0114,155.3781,124.7312,88.5578,22.7031,110.2513,155.3781,S,NA,5,5,,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,122.8890333,121.96795,129.946196,1.601.2797.5
68,T6,1,HOT,SS,601,2797,1.1122,151.3419,125.8673,81.1036,26.8045,118.0489,151.3419,S,NA,5,5,3,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,119.4376,116.22275,128.585673,1.601.2797.5
63,T0,1,HOT,SS,601,2797,1.0625,158.7374,131.347,95.1166,23.9807,103.3382,158.7374,S,NA,6,6,,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,128.4003333,126.927,135.578776,1.601.2797.6
72,T6,1,HOT,SS,601,2797,1.0118,160.8552,136.7434,93.3594,26.9719,106.8637,160.8552,S,NA,6,6,5,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,130.3193333,127.1073,139.2047,1.601.2797.6
61,T0,1,HOT,SS,601,2797,0.6841,156.3768,126.15,87.4584,23.6679,112.7621,156.3768,S,NA,7,7,,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,123.3284,121.9176,130.961964,1.601.2797.7
75,T0,1,HOT,SS,613,1594,0.7479,167.9894,131.3929,92.1666,21.6837,115.5104,167.9894,S,NA,1,1,,A.ten,IndivCross,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PALxPAL,130.5163,130.078,138.056957,1.613.1594.1
77,T6,1,HOT,SS,613,1594,0.7601,167.0024,141.1326,93.5803,27.172,112.1919,167.0024,S,NA,2,1,2,A.ten,IndivCross,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PALxPAL,133.9051,130.29135,143.662787,1.613.1594.1
76,T0,1,HOT,SS,613,1594,1.6394,189.0404,156.559,118.0914,22.9613,95.8032,189.0424,C,2,2,2,,A.ten,IndivCross,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PALxPAL,154.5636,153.5659,162.071984,1.613.1594.2
79,T6,1,HOT,SS,613,1594,1.7146,181.7274,159.8587,111.079,28.8912,99.95,181.7274,C,2,1,2,1,A.ten,IndivCross,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PALxPAL,150.8883667,146.4032,161.053543,1.613.1594.2
74,T0,1,HOT,SS,613,1594,4.1389,179.7656,146.9269,109.8057,22.173,99.4501,179.7656,C,6,3,3,,A.ten,IndivCross,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PALxPAL,145.4994,144.78565,152.695178,1.613.1594.3
80,T6,1,HOT,SS,613,1594,4.1803,188.3331,164.4649,120.878,27.1367,91.0809,188.3331,C,6,3,3,3,A.ten,IndivCross,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PALxPAL,157.892,154.60555,166.830801,1.613.1594.3
73,T0,1,HOT,SS,613,1594,0.9754,177.392,141.0764,100.0502,22.2787,111.3005,177.392,S,NA,4,4,,A.ten,IndivCross,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PALxPAL,139.5062,138.7211,147.458198,1.613.1594.4
78,T6,1,HOT,SS,613,1594,0.8055,181.9803,158.5512,111.0004,28.0849,99.1775,181.9803,S,NA,4,4,4,A.ten,IndivCross,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PALxPAL,150.5106333,146.49035,160.349342,1.613.1594.4
83,T0,1,HOT,SS,613,1688,3.0667,151.5252,121.815,86.0148,22.851,110.3393,151.5252,C,6,1,1,,A.ten,IndivCross,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEWxDAV,119.785,118.77,126.790038,1.613.1688.1
85,T6,1,HOT,SS,613,1688,2.9777,161.3888,136.3937,91.0776,27.0603,111.5935,161.3888,C,5,1,1,1,A.ten,IndivCross,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEWxDAV,129.6200333,126.2332,138.907459,1.613.1688.1
82,T0,1,HOT,SS,613,1688,0.8858,151.637,121.1142,83.8366,22.9841,114.076,151.637,S,NA,2,2,,A.ten,IndivCross,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEWxDAV,118.8626,117.7368,126.170504,1.613.1688.2
84,T6,1,HOT,SS,613,1688,0.552,153.7371,128.7515,83.7756,27.229,116.0509,153.7371,S,NA,2,2,2,A.ten,IndivCross,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEWxDAV,122.0880667,118.75635,131.299831,1.613.1688.2
81,T0,1,HOT,SS,613,1688,0.463,154.9277,124.5389,84.1656,23.9347,116.3616,154.9277,S,NA,3,3,,A.ten,IndivCross,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEWxDAV,121.2107333,119.54665,129.214477,1.613.1688.3
88,T0,1,HOT,SS,613,1942,1.4496,169.9108,139.6565,103.1498,22.8381,99.9086,169.9108,C,2,1,1,,A.ten,IndivCross,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PALxPAL,137.5723667,136.5303,144.717053,1.613.1942.1
87,T0,1,HOT,SS,613,1942,0.7878,165.2564,137.5233,102.2911,23.4127,97.0411,165.2564,S,NA,2,2,,A.ten,IndivCross,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PALxPAL,135.0236,133.77375,141.967688,1.613.1942.2
86,T0,1,HOT,SS,613,1942,0.7608,169.5551,143.5007,109.7856,23.9319,89.8017,169.5551,S,NA,3,3,,A.ten,IndivCross,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PALxPAL,140.9471333,139.67035,147.608359,1.613.1942.3
92,T6,1,HOT,SS,613,1942,0.3838,164.5919,145.485,104.1782,28.6857,93.4991,164.5919,S,NA,2,3,2,A.ten,IndivCross,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PALxPAL,138.0850333,134.38505,146.673322,1.613.1942.3
90,T0,1,HOT,SS,613,1942,0.7021,159.9508,134.4303,99.9492,23.9985,95.3974,159.9508,S,NA,4,4,,A.ten,IndivCross,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PALxPAL,131.4434333,129.95,138.293529,1.613.1942.4
91,T6,1,HOT,SS,613,1942,0.7223,160.3848,141.1854,96.5344,29.3056,101.1436,160.3848,S,NA,1,4,5,A.ten,IndivCross,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PALxPAL,132.7015333,128.4596,142.03361,1.613.1942.4
89,T0,1,HOT,SS,613,1942,0.6982,162.6545,136.8453,101.6617,24.0557,95.4997,162.6545,S,NA,5,5,,A.ten,IndivCross,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PALxPAL,133.7205,132.1581,140.717864,1.613.1942.5
94,T0,1,HOT,SS,613,2361,0.5156,111.6229,86.7577,58.7109,22.2402,120.5894,111.6229,S,NA,1,1,,A.ten,IndivCross,PAR5,Davies6,PAR5xDavies6,T.F22,C78,PARxDAV,85.69716667,85.1669,91.132112,1.613.2361.1
93,T0,1,HOT,SS,613,2361,0.9783,147.0854,113.8881,83.0537,20.1594,111.4431,147.0854,S,NA,2,2,,A.ten,IndivCross,PAR5,Davies6,PAR5xDavies6,T.F22,C78,PARxDAV,114.6757333,115.06955,120.455506,1.613.2361.2
100,T6,1,HOT,SS,613,2361,0.6071,151.962,129.5647,90.0824,26.5979,104.5107,151.962,S,NA,1,2,4,A.ten,IndivCross,PAR5,Davies6,PAR5xDavies6,T.F22,C78,PARxDAV,123.8697,121.0222,131.940837,1.613.2361.2
97,T0,1,HOT,SS,613,2361,3.3561,140.0952,107.4423,75.4135,20.6615,118.0545,140.0952,C,5,3,3,,A.ten,IndivCross,PAR5,Davies6,PAR5xDavies6,T.F22,C78,PARxDAV,107.6503333,107.75435,113.715002,1.613.2361.3
101,T6,1,HOT,SS,613,2361,3.219,NA,NA,NA,NA,NA,NA,C,5,2,3,,A.ten,IndivCross,PAR5,Davies6,PAR5xDavies6,T.F22,C78,PARxDAV,#VALUE!,0,#VALUE!,1.613.2361.3
